helpful,postDate,reviewBody,reviewTitles,special_profile,starRating,type,type_product,username,verifiedPurchase
"4,175 people found this helpful","Reviewed in the United States on October 23, 2020","I purchased this as i always do with the latest and greatest echo devices. This was a sour Disappointment for someone who is used to amazon improving on their devices yearly.Complaints:1. They shipped my Black echo, with a WHITE cord, In the past the cord color matched the device, why change?2. The charger is Noticeably larger and cheaper looking, sporting rounded corners and a bulky design.3. The sound quality vs my 2nd Gen Dot has actually gotten worse. This speaker lacks bass and is very ""hollow"" sounding. The gen 2 speaker blows the gen 3 out of the water, IMO they majorly cheaped out to get you other features like an Ai core and a bulkier bigger device, in bigger packaging, requiring more shiping cost, a poor trade off for quality.4. Its fabric mesh, and construction seem cheaper than previous generations, it is significantly lighter than a previous gen (my guess is a small speaker magnet and more airspace due to its odd shape)5. Its small, i thought the ball was cool, big and substantially, Like a speaker should be, but its tennis ball sized and looks like a childs toy, or a cheap bluetooth speaker you got for $5.....6. It has this awful ""sheen"" to the plastic that makes it look like some Chinese garbage product....7. The buttons feel awful and cheap compared to previous generations.Pros:It has underglow now.Overall its clear this product was rushed, or had a strict budget in which a lot of its features, and quality were stripped. The gen2 dots are amazing, and if you weren;t going to make them better, why release a gen 3?It costs more, its much much worse in basically every category, and in my opinion, is a complete fail. Its supreme selling a brick because you want it. Buy a gen2, you'll be happier",A Major DOWNGRADE,,1.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,Zachary Riley,Verified Purchase
"1,667 people found this helpful","Reviewed in the United States on October 23, 2020","This new 4th Gen Echo Dot brings a new spherical shape to the Echo Dot lineup.  It is about the same width as the previous Echo 3rd Gen, but since it is a ball now it is obviously a little taller.  The blue light is now on the bottom.  Here are my thought so far:THE GOOD- Bottom ring light.  The new blue light on the bottom actually illuminates the surface that the Dot is sitting on.  This actually makes the light considerably more noticeable, especially if sitting on a semi-reflective surface.- Slightly better sound.  The actual speaker hardware is the same as the 3rd Gen Dot, but this one sounds slightly better to my ear.  This could be because the speaker is pointed toward the front, instead of pointing straight up like it was in the previous model.THE BAD- Aesthetics.  This is personal opinion of course, but I think I prefer the smaller, less noticeable ""hockey puck"" shape of the previous models.  This one is closer to a softball, and stands out much more.  Sure it might be better for creating sound, but I don't use Dots for music listening anyway.  If I wanted to do that I would use a regular Echo or Echo Studio, which of course sound much better than this Dot.  The whole point of the Dot for me was to use it in locations where I wanted a small device that doesn't take up much space.- Price.  The old Gen 3 Dot is now $10 cheaper than this version, and it is really hard for me to justify choosing this Gen 4.  It really seems like you are just paying for the new shape and very slightly better sound, but that doesn't currently seem worth it to me.  There just aren't enough improvements from what I've seen so far.All in all, this new Gen 4 Dot might be worth it for you if you really dig the ball shape and bottom ring light, but otherwise I'd have to recommend sticking with the Gen 3 for $10 less.",A VERY slight upgrade(?),,3.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,C,Verified Purchase
"1,157 people found this helpful","Reviewed in the United States on October 22, 2020","Device is great, but beware... the black ones come with a white cable... unlike the previous model.  No idea why they did this.","Black device, white cable",,5.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Michael Russo,Verified Purchase
711 people found this helpful,"Reviewed in the United States on October 22, 2020",This is one of the most infuriating purchases I have made. I recently bought a echo dot 3rd generation on prime day special but couldn't help wonder if the sound quality was different. The 4th generation device's sound is much better. It is a clear and less muffled. Which is great if I didn't need to connect it to anything or what to use any Alexa features. I've spent 4 hours going through every troubleshoot information I can find and no matter what this thing will not connect to my mobile hotspot wifi. I had some similar issues with the 3rd generation but it just took a few extra tries. I even tried to get assistance and they sent me the instructions already included then switched me over to someone else who wanted to start me over again with the same basic help links.This is infuriating because not only does this item not work as its supposed to but I also returned my functional 3rd generation which is now double the price and unavailable.,Disappointing.,,1.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,Mira,Verified Purchase
573 people found this helpful,"Reviewed in the United States on October 23, 2020","I have a few Dots around the house.  One decided to have an attitude and she had to be replaced.  Problem with voice recognition.  I still pay the bills around here so she is not here any more!!  HaHa!!  I replaced her with the new Echo Dot 4th Gen in Blue.  How pretty!  It matches my home furnishings.  Love the ball design.  Very different but really kool.  Sound is beautiful.  I love playing music and the tone is great.  I'll update if I run into a problem but so far I'm really pleased with this new design, color and sound.  Highly recommend.",So far so good!,,5.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,Shesinstpete33710,Verified Purchase
580 people found this helpful,"Reviewed in the United States on October 22, 2020",Much smaller than expected but the sound is phenomenal. I have almost every single version of the Echo and Echo dot in my house for an easy to use Spotify music setup to surround my upstairs with music but this little orb is the best sounding of the lot. Highly recommended and a great improve over the Dot. I hope that Amazon keeps this style for a while.,Tiny size. PHENOMENAL sound.,,5.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,Minifig,Verified Purchase
306 people found this helpful,"Reviewed in the United States on October 25, 2020"," I’m loving the full sound, a great upgrade. What I don’t like is the white cord, why not black? Not sure 🤔 who made the decision for the cord to be white. For a little tech toy the sound is really nice for the price. I love the new design, why not add a digital clock on the charcoal design was disappointing but not a huge one. Overall a great sound from a little toy, can’t wait for them to add the new feature that allow me to monitor issues when I’m away at work and alert me real time on my phone.....",Little Powerful Dot,,5.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Lucian A. Sperta,Verified Purchase
221 people found this helpful,"Reviewed in the United States on October 27, 2020","I have 3 dot Gen 3s.  The dot 4 is DEAF.  If the volume is over three you need to scream at it to get her to listen.  Actually wanted the echo  4 and thought i was getting a great deal on the *rush* purchase prime day special.  To my surprise i received the smaller echo dot.  Gen 3 was never DEAF like this turd.  And what is with a white cord on a black unit.  BL seems rushed to production..... UPDATE.  20 minutes after i left this review i received a call from Amazon getting more detail to take to engineering.  Great to know they read these and respond.  Maybe she needs a hearing aid.  Work in process.  Might try to bigger echo that i initially thought i ordered,  i hear it has more mics than the dot.  Thank you amazon.. BREAK: after fighting  to get a word in, i will likeky return it and buy the studio.  There are not enough mics on this to listen.  Anything over volume 3 and it is a screaming contest.  Dont waste your money.",She is deaf.  Needs hearing aids..yuu need to scream at it to respond,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Amazon Customer,Verified Purchase
124 people found this helpful,"Reviewed in the United States on November 24, 2020"," I own echo dot gen 3and I was VERY excited to try gen 4. However, it is quite disappointing, the voice recognition is ok. But the sound quality is horrendous, even Alexa sounds different. I will keep it because I can’t wait until 2021 to get another gen 3. Also it feels cheaper than gen 3 so... if you can get gen 3 instead of 4, do it.","Sound quality is bad, very bad.",,3.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Laura G,Verified Purchase
151 people found this helpful,"Reviewed in the United States on November 20, 2020","Get the Gen 3 instead of this one.Sound quality is way better on the Gen 3 than the Gen 4.This new Gen 4 costs a lot more money, and doesn't sound good.The Gen 3 actually has pretty good sound quality until you get it up 3/4 of the max sound.I bought a bunch of the Gen 3s and a couple of the Gen 4s and I was going to see which I like better.After setting up the Gen 4 I played the same song on the Gen 3 and the Gen 4 side by side with the lights off to really focus on the sound.The Gen 4 sounds like a tin can, it has no quality to it just a empty sound, Even after I adjusted the sound settings, bass and reverb.The Gen 3 actually has some bass and some ""thickness""  to the sound.I'm returning both of my Gen 4s.While we are on the topic, don't get an echo show, the digital display Alexa devices. Just get a fire tablet and use it for the same thing. It does everything the show does but way more, you can get most apps on it.","Get the Gen 3, sound quality is way better.",,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Ted,Verified Purchase
